Contract,Price,Year,Make&Model,Location,Miles,Category
Sold,2500,2000,BMW 5 series 528i Sedan 4D,"Wharton, NJ",141000,A
Sold,5000,2000,BMW 5 series 540i Sedan 4D,"Lakewood, NJ",133000,A
Sold,5000,2001,BMW 5 series 540i Sedan 4D,"Jackson, NJ",134000,A
Sold,2900,1997,BMW 5 series 540i Sedan 4D,"Ridgewood, NY",100000,A
Sold,5500,2002,BMW 5 series 530i Sedan 4D,"Stamford, CT",97000,B
Sold,2500,2002,BMW 5 series 540i Sedan 4D,"Elizabeth, NJ",135000,A
Sold,23000,2000,BMW 5 series M5,"Ridgewood, NJ",157000,E
Sold,3100,2004,BMW 5 series,"Oakland Gardens, NY",103000,A
Sold,1800,2006,BMW 7 series 750Li Sedan 4D,"East Orange, NJ",140000,A
Sold,16999,2017,BMW 5 series 530i Sedan 4D,"Jamaica, NY",90000,D
Sold,5500,1995,BMW 5 series 530i Sedan 4D,"Brick, NJ",176000,B
Sold,5500,2008,BMW 5 series 528xi Sedan 4D,"Ronkonkoma, NY",102000,B
Sold,4000,1995,BMW 3 series 325is Coupe 2D,"Ridgefield, CT",260000,A
Sold,2250,2008,BMW 5 series 535i Sedan 4D,"New York, NY",105000,A
Sold,5000,2008,BMW 5 series 535i Sedan 4D,"Jersey City, NJ",148000,A
Sold,2300,2001,BMW 5 series 525i Sedan 4D,"Floral Park, NY",120000,A
Sold,3000,2004,BMW 5 series 525i Sedan 4D,"Westport, CT",102000,A
Sold,1500,2008,BMW 5 series 528i Sedan 4D,"Brooklyn, NY",148000,A
Pending,4000,1997,BMW 5 series 540i Sedan 4D,"Hasbrouck Heights, NJ",140000,A
Sold,3000,2005,BMW 5 series 530i Sedan 4D,"Mt Vernon, NY",185000,A
Sold,2500,2004,BMW 5 series,"New York, NY",150000,A
Sold,1150,2008,BMW 5 series 528i Sedan 4D,"Brooklyn, NY",148000,A
Sold,4500,2002,BMW 5 series 540i Sedan 4D,"Rochelle Park, NJ",155000,A
Sold,2000,2006,BMW 5 series 530xi Wagon 4D,"Summit, NJ",85000,A
